cve,cvssid
CVE-2019-15959,10d44158-6657-11ec-9fb6-5c80b610a170
CVE-2019-12652,10d552ff-6657-11ec-8c07-5c80b610a170
CVE-2020-3510,10d6164c-6657-11ec-aa22-5c80b610a170
CVE-2019-12656,10d6d99d-6657-11ec-ac55-5c80b610a170
CVE-2020-3511,10d7eb0d-6657-11ec-b86c-5c80b610a170
CVE-2019-12658,10d8ae5e-6657-11ec-8833-5c80b610a170
CVE-2019-12669,10d971ae-6657-11ec-bf54-5c80b610a170
CVE-2019-12676,10da5c21-6657-11ec-b0ab-5c80b610a170
CVE-2020-3512,10db1f59-6657-11ec-b1f0-5c80b610a170
CVE-2019-12693,10dc30af-6657-11ec-8aa5-5c80b610a170
CVE-2019-12698,10dd421e-6657-11ec-bf59-5c80b610a170
CVE-2019-12700,10de0562-6657-11ec-bb02-5c80b610a170
CVE-2019-12704,10df16eb-6657-11ec-8b83-5c80b610a170
CVE-2020-3513,10e00135-6657-11ec-9d57-5c80b610a170
CVE-2019-12714,10e0eba2-6657-11ec-8c69-5c80b610a170
CVE-2019-15957,10e1fd08-6657-11ec-ac01-5c80b610a170
CVE-2019-1703,10e2e762-6657-11ec-b493-5c80b610a170
CVE-2019-1695,10e3d1f5-6657-11ec-a0ae-5c80b610a170
CVE-2019-1694,10e4953d-6657-11ec-ae30-5c80b610a170
CVE-2019-1693,10e5588d-6657-11ec-bb8e-5c80b610a170
CVE-2020-3399,10e642e1-6657-11ec-8772-5c80b610a170
CVE-2020-3416,10e7061c-6657-11ec-935e-5c80b610a170
CVE-2020-3486,10e7c965-6657-11ec-91db-5c80b610a170
